"//matugesita","LowerEyelashes"
"向日葵","Sunflower","mukoaoi",""
"周囲の","Ambient"
"女戦士","FemaleWarrior","jo senshi",""
"寄せて","Push"
"寄せる","Together","yoseru",""
"小悪魔","Koakuma",""
"小野塚","Onozuka",""
"尻の線","ButtLine"
"幽々子","Yuyuko",""
"後下髪","BackLowerHair"
"悲しい","Sad",""
"悲しみ","Sad"
"拡大し","Expand"
"明度変","ChangeBrightness"
"未使用","Unused"
"様私服","CasualClothes",""
"止め具","Fasteners",""
"歯上上","UpperTeethGoUp"
"歯上下","TeethUpperGoDown"
"歯下下","LowerTeethGoDown"
"水かき","Web"
"水着上","SwimsuitUpper"
"水着下","SwimsuitLower"
"注連縄","SacredShrineRope"
"淡紅色","Pink","tankōshoku",""
"無機質","HighlightsNone"
"燕尾服","SwallowTailCoat",""
"目が点","●●Eyes"
"真面目","Serious",""
"睫毛短","Eyelashes"
"神奈子","Kanako"
"移動用","Move","ido?",""
"紐ぱん","String",""
"紫カラ","YukariColor"
"細める","Tighten","hosomeru",""
"絆創膏","Bandage","",""
"緑寄り","Green","midori yori",""
"耳移動","EarMovement","mimi ido",""
"胸補助","Bust_support",""
"色変え","ChangeColor",""
"色変化","ColorChange"
"色変更","ChangeColor"
"衣料品","Clothing","iryouhin",""
"褌鋲銀","Loincloth","fundoshi byo gin"
"西行寺","Saigyouji",""
"見開く","Spread","mihiraku",""
"調整用","Adjustment"
"足指伸","ToesBend"
"足首伸","AnkleBend"
"透ジャ","Translucent","torushi?",""
"鎖移動","ChainMovement","kusari ido",""
"青ざめ","Pale","aozame",""
"青冷め","BlueCold"
"青寄り","Blue","ao yori",""
"非透過","Opaque"
"面荒さ","Roughness","men kō "
"革ぱん","Leather",""
"額冠金","FrameCrown","gaku kanmuri kin"
"額冠銀","FrameCrown","gaku kanmuri gin"
"髪留め","RubberBand",""
"ﾞニー"," Knee","ni","Pluto new translations"
"ω□","Omegabox",""
"▽▽","▽▽Eyes"
"あぁ","Aa"
"あお","Blue","ao",""
"あか","Red","aka",""
"あご","Jaw","ago",""
"あ白","aHijiri"
"あ紫","aYukari"
"いぃ","Ii"
"い白","iHijiri"
"い紫","iYukari"
"うで","Arm","ude",""
"うへ","Disgust","uueh"
"う白","uHijiri"
"う紫","uYukari"
"えり","Collar","eri",""
"えー","e-","e",""
"え白","eHijiri"
"え紫","eYukari"
"お白","oHijiri"
"お紫","oYukari"
"かき","Oyster","kaki"
"かな","Kanako"
"きめ","Texture","kime"
"くっ","Ugh",""
"くつ","Shoes","kutsu",""
"くろ","Black","kuro",""
"げ右","Right","ge migi",""
"げ左","Left","ge hidari",""
"さき","Tips","saki",""
"しろ","White","shiro",""
"じと","Tooth","ji to",""
"すじ","Sushi","suji",""
"すそ","LowerClothes","suso",""
"そで","Sleeve","sode",""
"たか","Falcon","taka",""
"たれ","Droopy","tare",""
"ちち","Father","chichi"
"つま","Toe","tsuma",""
"つり","Slant","tsuri",""
"てへ","Lick","tehheh",""
"とげ","Thorn","toge",""
"なし","None","nashi",""
"なぬ","None","nanu",""
"なめ","Lick","name",""
"にこ","Smile","niko",""
"ぬる","Oiled","nuru",""
"はぁ","Slanted","haa"
"はぅ","Close><","haau",""
"ぱん","Pants"
"ひざ","Knee","hiza",""
"ひじ","Elbow","hiji",""
"ぷぅ","CheeksPuff","puu",""
"ぷく","CheeksPuff"
"べー","TongueOut",""
"ぺろ","Lick","pero",""
"ほお","Cheeks"
"ぽっ","Cruciform",""
"ます","Gem"
"まる","Gem","Winx Tecna"
"よせ","Forward"
"イー","GritsTeeth","eee"
"エア","Air","ea"
"オフ","Off","ofu",""
"カラ","Color"
"ガタ","Looseness","gata",""
"サリ","Sari","sari"
"スラ","Slime","sura"
"セラ","Sailor"
"タブ","ZipperTab"
"タン","Tan","tan",""
"ヌル","Oiled","nuru",""
"ネコ","Cat","neko"
"ネ毛","Hair",""
"バク","Forward"
"バニ","Bunny","bani",""
"バフ","Buff","bafu",""
"パフ","Puff","pafu"
"パン","Bread","pan"
"ヒル","HighHeelShoes","hiru",""
"ヒレ","Fin","hire","HalfFishHalfMan"
"ヒン","Back"
"ブチ","Spotted","buchi",""
"ブツ","Boots",""
"ブラ","Bra","bura",""
"ヘア","Hair","hea"
"ベス","ChangeColorSlime","besu"
"ベル","Belt"
"ベー","TongueOut","behh"
"ボト","Bottom"
"マク","Mark","maku","Label"
"ミク","Miku","miku",""
"レオ","Leotard","reo",""
"レグ","Leg","regu",""
"ロー","Lower","ro",""
"一括","All"
"三角","Triangle"
"上げ","Raise","age",""
"上半","Upper",""
"上着","Coat","uwagi",""
"上紐","UpperString"
"上部","UpperPart"
"下げ","Lower","sage",""
"下上","LowerGoUp"
"下半","Lower",""
"下着","Underwear","shitagi",""
"下部","LowerPart"
"下顎","Chin","shita ago",""
"不満","Dissatisfied","fuman",""
"両目","Eyes","ryoume",""
"中指","MiddleFinger","nakayubi",""
"丹色","Red","ni-iro",""
"乳巨","BreastsLarger"
"乳縮","BreastsSmaller"
"二重","Double","futae",""
"人指","IndexFinger","hitoyubi",""
"人魂","Ghost","hitodama"
"付け","Attachment",""
"位置","Location"
"体上","Bodyu",""
"体下","Bodyl",""
"傘を","Umbrella"
"傘閉","UmbrellaClosed","kasa ?"
"僧侶","PriestMonk","soryo"
"僧衣","PriestFrock","soi"
"先端","Tips","sakihaji",""
"光彩","Pupils"
"兜裏","Helmet","kabuto ura"
"全照","FullLight","chon akira"
"八坂","Yasaka",""
"八意","Yagokoro",""
"八重","Double","hachi ju"
"八雲","Yakumo",""
"六角","Hexagon","rokukaku",""
"出す","TakeOut"
"前掛","Front"
"前髪","Bangs",""
"勇儀","Yuugi",""
"勾玉","Beads","magatama"
"千桁","Thousand","sen keta"
"単色","Monochrome"
"収納","Hide","shūno",""
"口上","MouthUpper"
"口下","MouthLower"
"口内","InnerMouth"
"右ハ","RightHand",""
"右乳","RightBreast"
"右目","RightEye"
"右胸","RightBreast"
"右腕","RightArm"
"右足","RightLeg"
"司書","Librarian","shisho"
"向日","Sunrise","muko",""
"呆れ","Amazement",""
"周り","Around"
"和み","Calm","nagomi",""
"咲夜","Sakuya",""
"噛む","Bite","kamu",""
"器具","Apparatus","kigu",""
"回転","Rotate","kaiten",""
"困り","Troubled","komari",""
"困る","Sadness","komaru",""
"土台","Base","dodai",""
"夜戦","NightFight","yasen"
"太い","Wider",""
"女僧","FemalePriest","jo sō",""
"女賢","WiseWoman","jo ken",""
"学迷","Learning","gaku",""
"宝石","Jewel"
"小指","LittleFinger","koyubi",""
"小町","Komachi",""
"尻尾","Tail"
"左ハ","LeftHand",""
"左乳","LeftBreast"
"左目","LeftEye"
"左胸","LeftBreast"
"左腕","LeftArm"
"左足","LeftLeg"
"巻物","Scroll"
"帽子","Hat","boushi",""
"幽々","Yuyuko"
"幽香","Yuuka",""
"広げ","Widen","hiroge",""
"強さ","Power"
"強調","Power"
"影響","Influence","eikyo"
"後ろ","Behind","ushiro",""
"後掛","Back"
"御柱","Pillar","go hashira"
"怒り","Anger","ikari",""
"怒る","GetAngry","okoru",""
"怪訝","Suspicious"
"悔悟","Repentance","kaigo"
"感情","Emotion","kanjou",""
"憂い","Grieving","urei",""
"戦士","Warrior","senshi",""
"戦棍","Fighting","sen ?"
"扇子","Fan","sensu"
"手袋","Gloves","tebukuro",""
"手靴","GloveShoe"
"手首","Wrist","tekubi",""
"拡大","Larger "
"指輪","Ring","yubiwa",""
"掛け","Tabard"
"換装","Replace",""
"揺れ","Shake",""
"数字","Number"
"新規","New","shinnki",""
"明変","ColorChange"
"明度","ChangeColor","akirado","MingDegree"
"星熊","Hoshiguma",""
"映姫","Princess","utsu hime",""
"暗い","Deep","kurai",""
"暗く","Deep","kuraku",""
"材料","Material"
"材質","Material",""
"条旗","Flag","jo ki"
"染め","Blush","",""
"桃色","Pink","momoiro",""
"模様","ChangeColoredShapes","katagiyo",""
"横髪","SideHair",""
"橙色","Orange","daidaiiro",""
"機質","Highlights"
"気味","Expression","kimi"
"水晶","Crystals","suisho",""
"水着","Swimsuit","mizugi",""
"永琳","Eirin",""
"泣き","Cry","naki",""
"泣上","Sorrow","kyuuue",""
"泣前","BeforeCrying","kyuumae",""
"泣大","CryingBig","kyuudai",""
"泣小","Sorry","kyuushou",""
"泣幅","CryingWidth","kyuuhaba",""
"泣溜","Sadness","kyuutame",""
"泣落","Sorrow","kyuuraku",""
"浴衣","SummerKimono","yukata",""
"涙袋","PuffyEyes","ruitai",""
"深度","Depth","shindo "
"測定","Measurement","Sokutei",""
"潰れ","Smaller","tsubure",""
"火焔","Flame","kaen"
"灰色","Grey","haiiro",""
"無し","None","nashi",""
"照れ","Blush","tere",""
"牙片","Fangs"
"物理","Physics",""
"狭く","Narrower","semaku",""
"白い","White","shiroi",""
"白蓮","Byakuren",""
"盾金","Shield","tate kin"
"眉ヘ","Eyebrows","mayu e",""
"眉尻","Eyebrows","mayujiri",""
"真面","Serious","majime",""
"眼鏡","Glasses","megane",""
"着物","Kimono","kimono",""
"着用","Wear","chakuyo",""
"瞳孔","Pupils","dookoo",""
"瞳小","Pupils",""
"神奈","Kanako"
"移動","Move","ido",""
"笑い","Smile","warai",""
"笑う","Laugh",""
"笑顔","Laugh"
"筒長","CylinderLength","tsutsu cho"
"細い","Thinner",""
"細眉","Thin Eyebrows",""
"紳士","Gentleman","shinshi",""
"紺色","Navy_blue","koniro",""
"経巻","Scroll","kyōkan",""
"緋色","Scarlet","hiiro",""
"線銃","Gun","sen jū",""
"編改","Braids","hen aratame",""
"縦長","PupilsHeight"
"縮小","Shrink","syukusyou",""
"置置","Location","",""
"美鈴","Meiling",""
"耳飾","Ear"
"背広","Suit","sebiro",""
"胴体","Body"
"腰紐","Cordon",""
"舞台","Stage","butai",""
"色変","ColorChange"
"英数","Alphanumerical","ei su"
"茶色","Brown","chairo",""
"草履","Sandals","zori"
"葉収","Leaves","ha osamu",""
"葉隠","Leaf"
"薄い","Thinner",""
"薬指","RingFinger","kusuriyubi",""
"衣服","Clothes","ifuku",""
"衣装","Costume","ishō",""
"表情","Expressions",""
"表示","Display","hyoji"
"袖口","Wristband","sodeguchi",""
"裏地","Lining","uraji"
"補助","Aux","hojo",""
"褌布","Loincloth","fundoshi nuno"
"褐色","Brown","kasshoku",""
"視点","View"
"親指","Thumb","oyayubi",""
"角度","Rotate","kakudo",""
"角拡","Expand","sumi hiromu",""
"触覚","Antenna",""
"調整","Adjustment","tyousetsu",""
"貼る","Pastie",""
"賢者","WiseMan","kenja",""
"赤い","Red","akai",""
"赤面","Blush"
"足首","Ankle","ashikubi",""
"距離","Distance","kyori"
"軌跡","Track","kiseki"
"軍帽","MilitaryCap","gunbo",""
"軍装","MilitaryUniform","gunso",""
"軽装","LightClothing","keiso",""
"軽量","Lightweight","keiryō",""
"輪郭","Contour","rinkaku",""
"追加","Append","tsuika",""
"透過","Transparent","toruka",""
"連動","Connector","rendo"
"連結","Connector",""
"運動","Movement","undo"
"部分","Parts","bun",""
"部部","Parts","bu",""
"里柄","Pattern","sato gara"
"金具","MetalFittings","kanagu"
"金属","Metal","kinzoku",""
"銀杏","GingkoLeaf","icho"
"鎌軌","Scalpel","kama ?"
"鎖骨","Clavicle","sakotsu",""
"鎧上","StrapsUpper"
"鎧下","StrapsLower"
"鏡縁","MirrorEdge","kagami yukari"
"鏡面","Specular","kyōmen "
"閉じ","Closed"
"開き","Open","hiraki",""
"闇服","Dark","yami fuku",""
"闇色","Dark","yami shoku",""
"隠し","Hide"
"隠る","Hide","komoru",""
"青色","Blue green","ao-iro",""
"革靴","LeatherShoes","kawagutsu",""
"靴下","Socks","kutsushita",""
"鞘抜","Sheath","saya ?"
"順逆","Reverse","jungyaku"
"頭巾","HatPart"
"額冠","Crown","gaku kanmuri"
"顏影","Shadow"
"風見","Kazami",""
"飾り","Accessory","kazari",""
"首球","Neck"
"驚き","Surprised"
"髪の","Hair"
"髪留","HairTie"
"鳶色","Reddish_brown","tobiiro",""
"黄色","Yellow","kiiro",""
"黒い","Black","kuroi",""
"鼠色","Grey","muzumi-iro",""
"鼻筋","NoseRidge"
"鼻血","Nosebleed"
"龍珠","DragonBead","ryu tama"
"ＩＫ","IK",""
"×","××Eyes"
"δ","Delta"
"ω","ωOmega",""
"д","дTrapezoid"
"※","*"
"∞","∞Infinity"
"∧","∧Regret",""
"■",""
"□","□Box",""
"▲","▲Triangle",""
"○","○○Eyes"
"◎","◎◎SpiralEyes"
"●","●●Eyes"
"あ","a","a",""
"い","i","i",""
"う","u","u",""
"え","e","e",""
"お","o","o",""
"げ","Raise","ge"
"し","","shi",""
"じ","Tooth","ji"
"そ","That"
"と","And"
"び","FacialExpression","bi",""
"へ","∧Regret"
"べ","TongueOut","beh"
"み","Body","mi",""
"を","wo","wo",""
"ん","n","n",""
"ハ","Slant","ha",""
"ロ","Lower","ro",""
"ワ","Wa","wa",""
"・","*",""
"一","One","ichi",""
"万","Million","ban"
"丈","Length","take"
"三","Three","san"
"上","GoUp","ue",""
"下","GoDown","shita",""
"不","Not"
"並","Casual","nami",""
"中","Middle","naka",""
"丸","Circle","maru",""
"乳","Breasts","titi",""
"二","Two","ni",""
"人","Person","hito"
"他","Other","ta",""
"付","Attachment","tsuke",""
"伸","Extend","shin",""
"位","Location","kurai",""
"体","Body","karada",""
"作","Work","saku"
"傘","Umbrella","kasa"
"元","Origin","moto",""
"先","Tip","saki",""
"光","Light","hikari",""
"兎","Bunny","usagi",""
"兜","Helmet","kabuto"
"六","Six","roku",""
"内","Inside","uchi",""
"円","Circle","en",""
"冷","Cold","hiya"
"出","Out","izuru",""
"刀","KatanaSword","katana"
"分","Part","bun",""
"前","Front","mae",""
"剣","Sword","ken",""
"化","Invisible"
"十","Ten","ju"
"千","Thousand","sen"
"半","Half","han",""
"南","South","minami"
"厚","Thick","atsu",""
"口","Mouth","kuchi",""
"右","Right","migi",""
"名","Name","na"
"唇","Lips","kuchibiru",""
"垂","Vertical","shide",""
"型","Type","kata",""
"基","Category","ki",""
"変","Change",""
"外","Outside","soto",""
"大","Big","oo",""
"太","Wide","dai",""
"央","Center","hisashi",""
"奥","Back","oku",""
"子","Child","ko"
"字","Character","ji",""
"宝","Gem",""
"小","Small","ko",""
"尖","Tip","toga",""
"尻","Butt","shiri",""
"尾","Tail","bi",""
"左","Left","hidari",""
"巨","Large"
"差","Difference","sa",""
"巻","Book","maki",""
"巾","Part","haba"
"布","Cloth","nuno"
"帯","Band","obi",""
"幅","Width","haba",""
"広","Wide","hiro",""
"式","Physics","shiki"
"強","Force","tsuyoshi",""
"彩","ColorScheme","irodori",""
"後","Back","ushiro",""
"怒","Anger","ikari/do",""
"悪","Evil","waru",""
"悲","Sad"
"愛","Love","ai",""
"戻","Return","modo",""
"手","Hand","te",""
"押","Push"
"拡","Expand","hiromu",""
"括","TieFasten","kuku",""
"指","Finger","yubi",""
"捩","Twist","nejiri",""
"揺","Shake","yura",""
"散","Scatter"
"数","Number","kazu"
"文","Sentence","bun"
"方","Person","kata"
"旧","Old"
"明","Color",""
"星","Star","hoshi",""
"時","Time","toki"
"暗","Dark","kura"
"曲","Song","kyoku"
"更","More","sara"
"服","Clothes","fuku",""
"本","Book","hon",""
"杖","Cane","tsue"
"板","Board","ita"
"枠","Frame","waku"
"柄","Handle","e"
"染","Blush","some",""
"根","Base","ne",""
"桁","Digit","keta"
"桃","Pink","momo",""
"桜","Cherry","sakura",""
"棒","Stick","bo"
"棘","Thorn",""
"楓","MapleLeaf","kaede"
"横","Horizontal","yoko",""
"橋","Bridge","hashi"
"歯","Teeth","ha",""
"毛","Eyelashes","ke","Strand"
"水","Water","mizu",""
"汗","Sweat","ase",""
"消","Disappear","sho"
"涙","Tears","namida",""
"潮","Tide","shio"
"点","Tips","ten",""
"無","None","mu",""
"燕","Swallow","tsubame",""
"爪","Nail","tsume"
"片","Slanted"
"牙","Fang"
"物","Object","mono",""
"狭","Narrow","sema",""
"猫","Cat","neko","Hong Koakuma new translations"
"玉","Ball","tama"
"球","Ball","tama",""
"生","Bare","nama",""
"用","For","yō "
"白","White","shiro",""
"百","Hundred","hyaku"
"目","Eyes","me",""
"盾","Shield","tate"
"眉","Eyebrows","mayu",""
"眼","Eyes","gan",""
"着","Wear","chaku",""
"睫","Eyelashes","matsuge"
"瞳","Pupils","hitomi",""
"瞼","Eyelids","mabuta"
"短","Tan","tan"
"石","Stone","ishi",""
"童","Child","warabe"
"端","End","haji",""
"笑","Laugh","emi",""
"符","Marks","fu",""
"筋","Muscle","suzi",""
"筒","Cylinder","tsutsu"
"箱","Box","hako"
"紅","Hong",""
"紐","String","himo",""
"紫","Violet"
"細","Thin","hoso",""
"結","Connector","yui",""
"網","Net","ami",""
"緑","Green","midori",""
"線","Line","sen"
"縁","Edge","en"
"縄","Rope","nawa"
"縦","Vertical","tate",""
"縮","Contract","chijimi"
"置","Location","",""
"羽","WingFeather","hane",""
"耳","Ears","mimi",""
"聖","Hijiri",""
"肌","Skin","hada",""
"肘","Elbow","hiji",""
"股","CrotchThigh","mata"
"肩","Shoulder","kata",""
"背","Back","se",""
"胴","Body","do"
"胸","Breasts","mune",""
"脛","Shin","hagi",""
"腋","Armpit","waki",""
"腕","Arms","ude",""
"腰","Waist","koshi",""
"腹","Belly","hara",""
"腿","Thigh","momo",""
"舌","Tongue","shita ago",""
"舐","Lick","nebu",""
"舞","Dance","mai",""
"船","Boat","fune"
"色","Color","iro",""
"芯","Core","shin"
"花","Flower","hana",""
"英","English","ei"
"茶","Brown","cha",""
"葉","Leaf","ha",""
"葵","Hollyhock","aoi",""
"蓮","Lotus","hachisu",""
"薄","Thin","susuki",""
"藍","Ran",""
"虹","Rainbow","niji",""
"蛇","Snake","hebi",""
"蝶","Butterfly","cho",""
"衿","Collar","eri"
"袖","Sleeve","sode",""
"裏","Back","ura"
"補","Increase","ho",""
"裸","Bare","hadaka",""
"裾","LowerClothes","suso",""
"襟","Collar","eri",""
"親","Parent","oya",""
"角","Corner","kaku",""
"貧","Small","hin",""
"貼","Pastie","ha",""
"赤","Red","aka",""
"足","Legs","ashi",""
"跡","Mark","ato"
"踊","Dance","odori",""
"身","Body",""
"軍","Army","gun",""
"軸","Axis","jiku",""
"輪","Circles","wa",""
"透","Transparent","toru",""
"過","Over","ka",""
"部","Part","bu",""
"金","Gold","kimu"
"銀","Silver","gin"
"錐","Cone","kiri",""
"鍔","Brim","tsuba"
"鎌","Sickle","kama"
"鎖","Chain","kusari",""
"鎧","Straps","yoroi",""
"鏡","Mirror","kagami"
"長","Height"
"閉","Closed"
"開","Open","hiraki",""
"間","Interval","kan",""
"陰","Shadow","kage"
"隠","Hide","komo",""
"青","Blue","ao",""
"非","Not","hi",""
"革","Leather","kawa",""
"靴","Shoes","kutsu",""
"鞘","Sheath","saya"
"頂","Top","itadaki",""
"頬","Cheeks","ho",""
"頭","Head","atama",""
"頸","Neck"
"額","Frame","gaku"
"顎","Jaw","ago",""
"顔","Face","kao",""
"類","Type","rui",""
"飾","Ornament","kazari"
"首","Neck","kubi",""
"驚","Surprised","odoroki"
"骨","Bone","hone",""
"髪","Hair","kami",""
"魔","Demon","ma",""
"黄","Yellow","ki"
"黒","Black","kuro",""
"鼻","Nose","hana"
"！","!",""
"＋","+",""
"－","-",""
"／","/",""
"０","0",""
"１","1",""
"２","2",""
"３","3",""
"４","4",""
"５","5",""
"６","6",""
"７","7",""
"８","8",""
"９","9",""
"？","?",""
"Ａ","A",""
"Ｂ","B",""
"Ｃ","C",""
"Ｄ","D",""
"Ｅ","E",""
"Ｆ","F",""
"Ｇ","G",""
"Ｈ","H",""
"Ｉ","I",""
"Ｊ","J",""
"Ｋ","K",""
"Ｌ","L",""
"Ｍ","M",""
"Ｎ","N",""
"Ｏ","O",""
"Ｐ","P",""
"Ｑ","Q",""
"Ｒ","R",""
"Ｓ","S",""
"Ｔ","T",""
"Ｕ","U",""
"Ｖ","V",""
"Ｗ","W",""
"Ｘ","X",""
"Ｙ","Y",""
"Ｚ","Z",""
"＿","_",""
"ａ","a",""
"ｂ","b",""
"ｃ","c",""
"ｄ","d",""
"ｅ","e",""
"ｆ","f",""
"ｇ","g",""
"ｈ","h",""
"ｉ","i",""
"ｊ","j",""
"ｋ","k",""
"ｌ","l",""
"ｍ","m",""
"ｎ","n",""
"ｏ","o",""
"ｐ","p",""
"ｑ","q",""
"ｒ","r",""
"ｓ","s",""
"ｔ","t",""
"ｕ","u",""
"ｖ","v",""
"ｗ","w",""
"ｘ","x",""
"ｙ","y",""
"ｚ","z",""
